Topleft	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell
mix_1	0.004844961	0.001937984	0.540697674	0.179263566	0.15503876	0.066860465	0.051356589
mix_2	0.112068966	0.020114943	0.360632184	0.271551724	0.132183908	0.002873563	0.100574713
mix_3	0.049638056	0.114788004	0.140641158	0.152016546	0.396070321	0.07549121	0.071354705
mix_4	0.071108264	0.319026265	0.30941704	0.024983985	0.228058937	0.003203075	0.044202434
mix_5	0.078316774	0.150204559	0.330216248	0.015780245	0.351256575	0.022793688	0.051431911
mix_6	0.077770974	0.232700551	0.371096142	0.063686467	0.24004899	0.00061237	0.014084507
mix_7	0.074492099	0.110609481	0.267118134	0.053423627	0.387509406	0.0248307	0.082016554
mix_8	0.033302498	0.037002775	0.351526364	0.183163737	0.306197965	0.010175763	0.078630897
mix_9	0.074604371	0.286360211	0.418990203	0.040693293	0.161266014	0.011303693	0.006782216
mix_10	0.09432454	0.376498801	0.111910472	0.095123901	0.178257394	0.075139888	0.068745004
mix_11	0.103174603	0.053571429	0.501984127	0.185515873	0.010912698	0.070436508	0.074404762
mix_12	0.003448276	0.27183908	0.294252874	0.034482759	0.336206897	0.024712644	0.035057471
mix_13	0.008319468	0.465890183	0.173044925	0.199667221	0.116472546	0.023294509	0.013311148
mix_14	0.080793763	0.3621545	0.29836995	0.054571226	0.104181432	0.065201984	0.034727144
mix_15	0.062461727	0.132271892	0.342927128	0.128597673	0.293937538	0.013472137	0.026331904
mix_16	0.131964809	0.070381232	0.127077224	0.164222874	0.462365591	0.023460411	0.020527859
mix_17	0.07971864	0.167643611	0.07971864	0.168815944	0.447831184	0.004689332	0.051582649
mix_18	0.043985637	0.509874327	0.001795332	0.227109515	0.071813285	0.061041293	0.08438061
mix_19	0	0.095857027	0.194963444	0.209585703	0.372867587	0.063363119	0.063363119
mix_20	0.106772908	0.26374502	0.308366534	0.204780876	0.110756972	0.000796813	0.004780876
mix_21	0.023272214	0.354724965	0.076163611	0.154442877	0.36248237	0.013399154	0.01551481
mix_22	0.032069971	0.223517979	0.379980564	0.029154519	0.16909621	0.08260447	0.083576288
mix_23	0.072953737	0.258007117	0.358540925	0.185053381	0.047153025	0.045373665	0.032918149
mix_24	0.067226891	0.235894358	0.267707083	0.06182473	0.348739496	0.003601441	0.015006002
mix_25	0.084527221	0.336676218	0.348853868	0.101719198	0.114613181	0.01217765	0.001432665
mix_26	0.003139717	0.35400314	0.040031397	0.163265306	0.346153846	0.059654631	0.033751962
mix_27	0.067970205	0.144320298	0.460893855	0.144320298	0.109869646	0.047486034	0.025139665
mix_28	0.084099869	0.253613666	0.312746386	0.107752957	0.218134034	0.006570302	0.017082786
mix_29	0.046107332	0.079365079	0.457294029	0.144368859	0.130763416	0.051398337	0.090702948
mix_30	0.057391304	0.328695652	0.323478261	0.067826087	0.184927536	0.017971014	0.019710145
mix_31	0.019585898	0.302182429	0.257974259	0.139899273	0.166200336	0.049244544	0.064913262
mix_32	0.073404255	0.422340426	0.268085106	0.027659574	0.05	0.085106383	0.073404255
mix_33	0.007985803	0.419698314	0.138420586	0.170363798	0.181011535	0.078970719	0.003549246
mix_34	0.034956305	0.263420724	0.034956305	0.238451935	0.213483146	0.079900125	0.134831461
mix_35	0.013630731	0.250309789	0.335811648	0.046468401	0.253407683	0.029120198	0.071251549
mix_36	0.043239533	0.228551819	0.282086479	0.044612217	0.269045985	0.057652711	0.074811256
mix_37	0.047425474	0.158536585	0.188346883	0.146341463	0.400406504	0.021680217	0.037262873
mix_38	0.056750299	0.087216249	0.298088411	0.127837515	0.354241338	0.050776583	0.025089606
mix_39	0.075287356	0.216091954	0.33908046	0.114367816	0.201724138	0.002873563	0.050574713
mix_40	0.017813765	0.310121457	0.24048583	0.027530364	0.260728745	0.066396761	0.076923077
mix_41	0.024801587	0.279761905	0.100198413	0.159722222	0.296626984	0.084325397	0.054563492
mix_42	0.103871577	0.537299339	0.126534466	0.076487252	0.033050047	0.015108593	0.107648725
mix_43	0.073339085	0.358930112	0.039689387	0.151855047	0.240724763	0.07161346	0.063848145
mix_44	0.113504557	0.214581607	0.338856669	0.207953604	0.043082022	0.038111019	0.043910522
mix_45	0.072507553	0.111782477	0.355488419	0.059415911	0.26183283	0.019133938	0.119838872
mix_46	0	0.276081425	0.190839695	0.095419847	0.279898219	0.113231552	0.044529262
mix_47	0.113606341	0.003963012	0.034346103	0.331571995	0.491413474	0.003963012	0.021136063
mix_48	0.090059473	0.466440102	0.095157179	0.134239592	0.069668649	0.062871708	0.081563297
mix_49	0.022375215	0.21686747	0.34939759	0.006884682	0.123924269	0.151462995	0.12908778
mix_50	0.046899841	0.207472178	0.360890302	0.06518283	0.226550079	0.010333863	0.082670906
mix_51	0.061007958	0.281167109	0.025198939	0.140583554	0.384615385	0.053713528	0.053713528
mix_52	0.053136531	0.273800738	0.104059041	0.164575646	0.27601476	0.065682657	0.062730627
mix_53	0.162483487	0.257595773	0.107001321	0.211360634	0.112285337	0.067371202	0.081902246
mix_54	0.069472278	0.324649299	0.223780895	0.091516366	0.245824983	0.039412158	0.005344021
mix_55	0.00625	0.446428571	0.046428571	0.199107143	0.233928571	0.034821429	0.033035714
mix_56	0.001545595	0.395672334	0.278979907	0.07496136	0.175425039	0.064142195	0.00927357
mix_57	0.078136739	0.241172051	0.407963937	0.024042074	0.181066867	0.024042074	0.043576258
mix_58	0.024116657	0.208076276	0.32136848	0.114974762	0.302860348	0.017386427	0.01121705
mix_59	0.110623354	0.188762072	0.104477612	0.123792801	0.285338016	0.081650571	0.105355575
mix_60	0.049560352	0.381294964	0.145483613	0.166266986	0.198241407	0.051159073	0.007993605
mix_61	0.070500928	0.212739641	0.286332715	0.024118738	0.32034632	0.042053185	0.043908472
mix_62	0.033179724	0.170506912	0.208294931	0.128110599	0.3640553	0.073732719	0.022119816
mix_63	0.023000523	0.266596968	0.301097752	0.078410873	0.301097752	0.022477784	0.007318348
mix_64	0.162064826	0.007202881	0.049219688	0.277310924	0.422569028	0.004801921	0.076830732
mix_65	0.03200883	0.219646799	0.119205298	0.19205298	0.296909492	0.082781457	0.057395143
mix_66	0.111479029	0.090507726	0.247240618	0.186534216	0.161147903	0.073951435	0.129139073
mix_67	0.104294479	0.053680982	0.43404908	0.10506135	0.220858896	0.069018405	0.01303681
mix_68	0.054945055	0.234995773	0.175824176	0.140321217	0.316145393	0.015215554	0.062552832
mix_69	0.115550756	0.313174946	0.242980562	0.085313175	0.214902808	0	0.028077754
mix_70	0.00571837	0.296640457	0.078627591	0.141529664	0.408148678	0.037169407	0.032165833
mix_71	0.048076923	0.154647436	0.249198718	0.170673077	0.30849359	0.041666667	0.02724359
mix_72	0.055201699	0.128450106	0.232484076	0.111464968	0.397027601	0.067940552	0.007430998
mix_73	0.058031088	0.295336788	0.088082902	0.046632124	0.49119171	0.01865285	0.002072539
mix_74	0.049180328	0.406943105	0.335583414	0.151398264	0.010607522	0.025072324	0.021215043
mix_75	0.083152567	0.39407086	0.12219812	0.122921186	0.196673897	0.047722343	0.033261027
mix_76	0.044915254	0.03220339	0.397457627	0.030508475	0.375423729	0.070338983	0.049152542
mix_77	0.089895013	0.291338583	0.269028871	0.074146982	0.192913386	0.031496063	0.051181102
mix_78	0.050491803	0.269508197	0.18295082	0.164590164	0.301639344	0.026229508	0.004590164
mix_79	0.164674635	0.158034529	0.08499336	0.092961487	0.394422311	0.091633466	0.013280212
mix_80	0.140083218	0.348127601	0.080443828	0.137309293	0.144244105	0.097087379	0.052704577
mix_81	0.105189341	0.131837307	0.120617111	0.319775596	0.131837307	0.131837307	0.058906031
mix_82	0.01992966	0.016412661	0.052754982	0.161781946	0.586166471	0.033997655	0.128956624
mix_83	0.005970149	0.410447761	0.051492537	0.032835821	0.432089552	0.001492537	0.065671642
mix_84	0.04426325	0.133954572	0.293535236	0.090273733	0.342457775	0.027955737	0.067559697
mix_85	0.029718876	0.102811245	0.18313253	0.167871486	0.347791165	0.073092369	0.095582329
mix_86	0.081567116	0.249197174	0.278741169	0.051380861	0.314065511	0.017983301	0.007064868
mix_87	0.043433299	0.306101344	0.532574974	0.010341262	0.020682523	0.070320579	0.016546019
mix_88	0.034534535	0.280780781	0.336336336	0.113363363	0.133633634	0.065315315	0.036036036
mix_89	0.214428858	0.134268537	0.03006012	0.284569138	0.228456914	0.096192385	0.012024048
mix_90	0.009551098	0.251193887	0.490926457	0.053486151	0.106017192	0.025787966	0.063037249
mix_91	0.005840363	0.226476314	0.343283582	0.045425049	0.266709929	0.038286827	0.073977936
mix_92	0.061176471	0.327647059	0.239411765	0.150588235	0.16	0.012352941	0.048823529
mix_93	0.103202847	0.180308422	0.052194543	0.028469751	0.620403321	0.010676157	0.004744958
mix_94	0.037181996	0.337247228	0.358121331	0.026092629	0.166992825	0.025440313	0.048923679
mix_95	0	0.407750632	0.239258635	0.119629318	0.181971356	0.01347936	0.037910699
mix_96	0.063271605	0.24691358	0.236111111	0.183641975	0.12808642	0.069444444	0.072530864
mix_97	0.044063647	0.374541004	0.288861689	0.00244798	0.095471236	0.05875153	0.135862913
mix_98	0.004601227	0.441717791	0.159509202	0.040644172	0.207822086	0.068251534	0.077453988
mix_99	0.180055402	0.091412742	0.027700831	0.002770083	0.509695291	0.04432133	0.144044321
mix_100	0	0.31289507	0.249683944	0.002528445	0.365992415	0.022756005	0.046144121
